date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-10-03,5.052201,7.197162,8.011882,7.197162,9.934696,10.046268,8.302858,10.046268,7.197162,3.476155,7.030284,6.082678,8.302858,10.046268,10.046268,9.934696,6.773118,7.030284,10.046268,6.082678,6.082678,5.053679,10.046268,7.197162,5.053679,8.011882,5.053679,8.302858,6.082678,8.302858,8.011882,10.046268,7.030284,8.302858,8.011882,6.082678,8.302858,8.302858,7.197162,6.082678,8.011882,6.773118,10.046268,9.934696,6.082678,5.053679,6.082678,10.046268,7.030284
2016-10-04,5.576617,7.386595,8.850392,7.386595,10.421959,10.163548,8.345644,10.163548,7.386595,4.081314,7.293993,6.277717,8.345644,10.163548,10.163548,10.421959,6.686776,7.293993,10.163548,6.277717,6.277717,4.959081,10.163548,7.386595,4.959081,8.850392,4.959081,8.345644,6.277717,8.345644,8.850392,10.163548,7.293993,8.345644,8.850392,6.277717,8.345644,8.345644,7.386595,6.277717,8.850392,6.686776,10.163548,10.421959,6.277717,4.959081,6.277717,10.163548,7.293993
2016-10-05,5.540600,6.338265,7.932564,6.338265,10.289427,10.296504,8.922158,10.296504,6.338265,4.421070,7.018254,6.072233,8.922158,10.296504,10.296504,10.289427,6.215981,7.018254,10.296504,6.072233,6.072233,5.334116,10.296504,6.338265,5.334116,7.932564,5.334116,8.922158,6.072233,8.922158,7.932564,10.296504,7.018254,8.922158,7.932564,6.072233,8.922158,8.922158,6.338265,6.072233,7.932564,6.215981,10.296504,10.289427,6.072233,5.334116,6.072233,10.296504,7.018254
2016-10-06,5.258033,5.050916,6.490499,5.050916,10.085497,10.142901,9.168951,10.142901,5.050916,5.249087,6.404474,4.815282,9.168951,10.142901,10.142901,10.085497,4.684702,6.404474,10.142901,4.815282,4.815282,3.778918,10.142901,5.050916,3.778918,6.490499,3.778918,9.168951,4.815282,9.168951,6.490499,10.142901,6.404474,9.168951,6.490499,4.815282,9.168951,9.168951,5.050916,4.815282,6.490499,4.684702,10.142901,10.085497,4.815282,3.778918,4.815282,10.142901,6.404474
2016-10-07,5.451781,5.302094,6.026212,5.302094,10.085261,10.053284,8.226321,10.053284,5.302094,4.359627,5.934597,4.558156,8.226321,10.053284,10.053284,10.085261,5.069764,5.934597,10.053284,4.558156,4.558156,4.291560,10.053284,5.302094,4.291560,6.026212,4.291560,8.226321,4.558156,8.226321,6.026212,10.053284,5.934597,8.226321,6.026212,4.558156,8.226321,8.226321,5.302094,4.558156,6.026212,5.069764,10.053284,10.085261,4.558156,4.291560,4.558156,10.053284,5.934597
2016-10-08,5.502217,7.775784,6.543013,7.775784,9.924789,9.258985,6.981254,9.258985,7.775784,2.895834,4.919660,4.318233,6.981254,9.258985,9.258985,9.924789,7.645408,4.919660,9.258985,4.318233,4.318233,4.726675,9.258985,7.775784,4.726675,6.543013,4.726675,6.981254,4.318233,6.981254,6.543013,9.258985,4.919660,6.981254,6.543013,4.318233,6.981254,6.981254,7.775784,4.318233,6.543013,7.645408,9.258985,9.924789,4.318233,4.726675,4.318233,9.258985,4.919660
2016-10-09,4.913344,6.284651,7.081016,6.284651,9.700868,9.524199,6.804689,9.524199,6.284651,2.783748,4.494061,4.092432,6.804689,9.524199,9.524199,9.700868,5.858030,4.494061,9.524199,4.092432,4.092432,4.582200,9.524199,6.284651,4.582200,7.081016,4.582200,6.804689,4.092432,6.804689,7.081016,9.524199,4.494061,6.804689,7.081016,4.092432,6.804689,6.804689,6.284651,4.092432,7.081016,5.858030,9.524199,9.700868,4.092432,4.582200,4.092432,9.524199,4.494061
2016-10-10,4.942385,5.693073,6.547702,5.693073,9.754576,8.947571,6.229031,8.947571,5.693073,3.279981,3.916376,3.547874,6.229031,8.947571,8.947571,9.754576,5.093416,3.916376,8.947571,3.547874,3.547874,3.971562,8.947571,5.693073,3.971562,6.547702,3.971562,6.229031,3.547874,6.229031,6.547702,8.947571,3.916376,6.229031,6.547702,3.547874,6.229031,6.229031,5.693073,3.547874,6.547702,5.093416,8.947571,9.754576,3.547874,3.971562,3.547874,8.947571,3.916376
2016-10-11,5.344646,6.356698,5.893114,6.356698,9.537271,8.149089,5.502160,8.149089,6.356698,3.519494,3.706031,3.323351,5.502160,8.149089,8.149089,9.537271,4.692451,3.706031,8.149089,3.323351,3.323351,3.731848,8.149089,6.356698,3.731848,5.893114,3.731848,5.502160,3.323351,5.502160,5.893114,8.149089,3.706031,5.502160,5.893114,3.323351,5.502160,5.502160,6.356698,3.323351,5.893114,4.692451,8.149089,9.537271,3.323351,3.731848,3.323351,8.149089,3.706031
2016-10-12,5.137719,5.881504,5.092581,5.881504,8.710556,8.210182,7.331123,8.210182,5.881504,7.266970,6.299942,5.060231,7.331123,8.210182,8.210182,8.710556,4.117112,6.299942,8.210182,5.060231,5.060231,3.573546,8.210182,5.881504,3.573546,5.092581,3.573546,7.331123,5.060231,7.331123,5.092581,8.210182,6.299942,7.331123,5.092581,5.060231,7.331123,7.331123,5.881504,5.060231,5.092581,4.117112,8.210182,8.710556,5.060231,3.573546,5.060231,8.210182,6.299942
