date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-10-03,5.052201,7.197162,8.011882,7.197162,9.934696,10.046268,8.302858,10.046268,7.197162,3.476155,7.030284,6.082678,8.302858,10.046268,10.046268,9.934696,6.773118,7.030284,10.046268,6.082678,6.082678,5.053679,10.046268,7.197162,5.053679,8.011882,5.053679,8.302858,6.082678,8.302858,8.011882,10.046268,7.030284,8.302858,8.011882,6.082678,8.302858,8.302858,7.197162,6.082678,8.011882,6.773118,10.046268,9.934696,6.082678,5.053679,6.082678,10.046268,7.030284
2016-10-10,5.31214,6.261626,7.067342,6.261626,10.037482,9.76957,7.81115,9.76957,6.261626,3.867237,5.711631,4.811704,7.81115,9.76957,9.76957,10.037482,5.893439,5.711631,9.76957,4.811704,4.811704,4.520587,9.76957,6.261626,4.520587,7.067342,4.520587,7.81115,4.811704,7.81115,7.067342,9.76957,5.711631,7.81115,7.067342,4.811704,7.81115,7.81115,6.261626,4.811704,7.067342,5.893439,9.76957,10.037482,4.811704,4.520587,4.811704,9.76957,5.711631
2016-10-17,5.251569,4.553436,5.225461,4.553436,8.43747,8.311439,6.938382,8.311439,4.553436,4.663889,6.381286,6.157655,6.938382,8.311439,8.311439,8.43747,4.40232,6.381286,8.311439,6.157655,6.157655,5.721889,8.311439,4.553436,5.721889,5.225461,5.721889,6.938382,6.157655,6.938382,5.225461,8.311439,6.381286,6.938382,5.225461,6.157655,6.938382,6.938382,4.553436,6.157655,5.225461,4.40232,8.311439,8.43747,6.157655,5.721889,6.157655,8.311439,6.381286
2016-10-24,4.952178,3.900133,5.277248,3.900133,9.166568,9.112758,7.286029,9.112758,3.900133,6.431586,5.964496,5.513169,7.286029,9.112758,9.112758,9.166568,3.811907,5.964496,9.112758,5.513169,5.513169,5.733891,9.112758,3.900133,5.733891,5.277248,5.733891,7.286029,5.513169,7.286029,5.277248,9.112758,5.964496,7.286029,5.277248,5.513169,7.286029,7.286029,3.900133,5.513169,5.277248,3.811907,9.112758,9.166568,5.513169,5.733891,5.513169,9.112758,5.964496
2016-10-31,4.576457,3.902554,5.199737,3.902554,8.061815,7.990201,6.65237,7.990201,3.902554,4.541482,5.96876,6.104069,6.65237,7.990201,7.990201,8.061815,4.316068,5.96876,7.990201,6.104069,6.104069,5.885544,7.990201,3.902554,5.885544,5.199737,5.885544,6.65237,6.104069,6.65237,5.199737,7.990201,5.96876,6.65237,5.199737,6.104069,6.65237,6.65237,3.902554,6.104069,5.199737,4.316068,7.990201,8.061815,6.104069,5.885544,6.104069,7.990201,5.96876
2016-11-07,3.580238,4.476375,5.055047,4.476375,7.526962,7.339171,5.715018,7.339171,4.476375,3.434978,5.25272,4.95675,5.715018,7.339171,7.339171,7.526962,4.551483,5.25272,7.339171,4.95675,4.95675,4.693177,7.339171,4.476375,4.693177,5.055047,4.693177,5.715018,4.95675,5.715018,5.055047,7.339171,5.25272,5.715018,5.055047,4.95675,5.715018,5.715018,4.476375,4.95675,5.055047,4.551483,7.339171,7.526962,4.95675,4.693177,4.95675,7.339171,5.25272
2016-11-14,4.090805,4.463927,5.221954,4.463927,6.294188,5.871077,4.453326,5.871077,4.463927,3.631909,4.420344,5.016557,4.453326,5.871077,5.871077,6.294188,4.203914,4.420344,5.871077,5.016557,5.016557,5.148395,5.871077,4.463927,5.148395,5.221954,5.148395,4.453326,5.016557,4.453326,5.221954,5.871077,4.420344,4.453326,5.221954,5.016557,4.453326,4.453326,4.463927,5.016557,5.221954,4.203914,5.871077,6.294188,5.016557,5.148395,5.016557,5.871077,4.420344
2016-11-21,3.566229,4.326693,5.393937,4.326693,6.598839,6.21301,4.875527,6.21301,4.326693,3.706587,4.771284,5.247812,4.875527,6.21301,6.21301,6.598839,4.050585,4.771284,6.21301,5.247812,5.247812,5.729358,6.21301,4.326693,5.729358,5.393937,5.729358,4.875527,5.247812,4.875527,5.393937,6.21301,4.771284,4.875527,5.393937,5.247812,4.875527,4.875527,4.326693,5.247812,5.393937,4.050585,6.21301,6.598839,5.247812,5.729358,5.247812,6.21301,4.771284
2016-11-28,3.888762,3.662326,4.558632,3.662326,5.959801,6.093372,5.238079,6.093372,3.662326,3.633179,4.538807,5.15463,5.238079,6.093372,6.093372,5.959801,3.458583,4.538807,6.093372,5.15463,5.15463,5.249278,6.093372,3.662326,5.249278,4.558632,5.249278,5.238079,5.15463,5.238079,4.558632,6.093372,4.538807,5.238079,4.558632,5.15463,5.238079,5.238079,3.662326,5.15463,4.558632,3.458583,6.093372,5.959801,5.15463,5.249278,5.15463,6.093372,4.538807
2016-12-05,3.840271,4.224419,5.42541,4.224419,6.737184,6.492915,4.84937,6.492915,4.224419,4.161854,3.153997,4.00029,4.84937,6.492915,6.492915,6.737184,3.758907,3.153997,6.492915,4.00029,4.00029,3.879087,6.492915,4.224419,3.879087,5.42541,3.879087,4.84937,4.00029,4.84937,5.42541,6.492915,3.153997,4.84937,5.42541,4.00029,4.84937,4.84937,4.224419,4.00029,5.42541,3.758907,6.492915,6.737184,4.00029,3.879087,4.00029,6.492915,3.153997
